atc_index,atc_code
914,B01AC11
915,B01AC13
916,B01AC15
917,B01AC16
918,B01AC17
919,B01AC18
920,B01AC19
921,B01AC21
922,B01AC22
923,B01AC23
924,B01AC24
925,B01AC25
926,B01AC26
927,B01AC27
928,B01AC30
929,B01AC56
930,B01AD
931,B01AD01
932,B01AD02
933,B01AD03
934,B01AD04
935,B01AD05
936,B01AD06
937,B01AD07
938,B01AD08
939,B01AD09
940,B01AD10
941,B01AD11
942,B01AD12
943,B01AE
944,B01AE01
945,B01AE02
946,B01AE03
947,B01AE04
948,B01AE05
949,B01AE06
950,B01AE07
951,B01AF
952,B01AF01
953,B01AF02
954,B01AF03
955,B01AF04
956,B01AX
957,B01AX01
958,B01AX04
959,B01AX05
960,B01AX07
961,B02
962,B02A
963,B02AA
964,B02AA01
965,B02AA01
966,B02AA02
967,B02AA02
968,B02AA03
969,B02AB
970,B02AB01
971,B02AB02
972,B02AB04
973,B02AB05
974,B02B
975,B02BA
976,B02BA01
977,B02BA01
978,B02BA02
979,B02BA02
980,B02BB
981,B02BB01
982,B02BC
983,B02BC01
984,B02BC02
985,B02BC03
986,B02BC05
987,B02BC06
988,B02BC07
989,B02BC08
990,B02BC09
991,B02BC30
992,B02BD
993,B02BD01
994,B02BD02
995,B02BD03
996,B02BD04
997,B02BD05
998,B02BD06
999,B02BD07
1000,B02BD08
1001,B02BD10
1002,B02BD11
1003,B02BD13
1004,B02BD14
1005,B02BD30
1006,B02BX
1007,B02BX01
1008,B02BX02
1009,B02BX03
1010,B02BX04
1011,B02BX05
1012,B02BX06
1013,B02BX07
1014,B02BX08
1015,B02BX09
1016,B03
1017,B03A
1018,B03AA
1019,B03AA01
1020,B03AA02
1021,B03AA03
1022,B03AA04
1023,B03AA05
1024,B03AA06
1025,B03AA07
1026,B03AA08
1027,B03AA09
1028,B03AA10
1029,B03AA11
1030,B03AA12
1031,B03AB
1032,B03AB01
1033,B03AB02
1034,B03AB03
1035,B03AB04
1036,B03AB05
1037,B03AB07
1038,B03AB08
1039,B03AB09
1040,B03AB10
1041,B03AC
1042,B03AD
1043,B03AD01
1044,B03AD02
1045,B03AD03
1046,B03AD04
1047,B03AD05
1048,B03AE
1049,B03AE01
1050,B03AE02
1051,B03AE03
1052,B03AE04
1053,B03AE10
1054,B03B
1055,B03BA
1056,B03BA01
1057,B03BA01
1058,B03BA01
1059,B03BA02
1060,B03BA03
1061,B03BA04
1062,B03BA05
1063,B03BA05
1064,B03BA51
1065,B03BA53
1066,B03BB
1067,B03BB01
1068,B03BB01
1069,B03BB51
1070,B03X
1071,B03XA
1072,B03XA01
1073,B03XA02
1074,B03XA03
1075,B03XA04
1076,B03XA05
1077,B03XA06
1078,B05
1079,B05A
1080,B05AA
1081,B05AA01
1082,B05AA02
1083,B05AA03
1084,B05AA05
1085,B05AA06
1086,B05AA07
1087,B05AA08
1088,B05AA09
1089,B05AA10
1090,B05AX
1091,B05AX01
1092,B05AX02
1093,B05AX03
1094,B05AX04
1095,B05B
1096,B05BA
1097,B05BA01
1098,B05BA02
1099,B05BA03
1100,B05BA04
1101,B05BA10
1102,B05BB
1103,B05BB01
1104,B05BB02
1105,B05BB03
1106,B05BB04
1107,B05BC
1108,B05BC01
1109,B05BC02
1110,B05C
1111,B05CA
1112,B05CA01
1113,B05CA02
1114,B05CA03
1115,B05CA04
1116,B05CA05
1117,B05CA06
1118,B05CA07
1119,B05CA08
1120,B05CA09
1121,B05CA10
1122,B05CB
1123,B05CB01
1124,B05CB02
1125,B05CB03
1126,B05CB04
1127,B05CB10
1128,B05CX
1129,B05CX01
1130,B05CX02
1131,B05CX03
1132,B05CX04
1133,B05CX10
1134,B05D
1135,B05DA
1136,B05DB
1137,B05X
1138,B05XA
1139,B05XA01
1140,B05XA02
1141,B05XA03
1142,B05XA04
1143,B05XA05
1144,B05XA06
1145,B05XA07
1146,B05XA08
1147,B05XA09
1148,B05XA10
1149,B05XA11
1150,B05XA12
1151,B05XA13
1152,B05XA14
1153,B05XA15
1154,B05XA16
1155,B05XA17
1156,B05XA18
1157,B05XA30
1158,B05XA31
1159,B05XB
1160,B05XB01
1161,B05XB02
1162,B05XB03
1163,B05XC
1164,B05XX
1165,B05XX02
1166,B05Z
1167,B05ZA
1168,B05ZB
1169,B06
1170,B06A
1171,B06AA
1172,B06AA02
1173,B06AA03
1174,B06AA04
1175,B06AA07
1176,B06AA10
1177,B06AA55
1178,B06AB
1179,B06AB01
1180,B06AC
1181,B06AC01
1182,B06AC02
1183,B06AC03
1184,B06AC04
1185,B06AC05
1186,B06AC05
1187,B06AX
1188,B06AX01
1189,B06AX02
1190,C
1191,C01
1192,C01A
1193,C01AA
1194,C01AA01
1195,C01AA02
1196,C01AA03
1197,C01AA04
1198,C01AA04
1199,C01AA05
1200,C01AA05
1201,C01AA06
1202,C01AA06
1203,C01AA07
1204,C01AA08
1205,C01AA08
1206,C01AA09
1207,C01AA52
1208,C01AB
1209,C01AB01
1210,C01AB51
1211,C01AC
1212,C01AC01
1213,C01AC03
1214,C01AX
1215,C01AX02
1216,C01B
1217,C01BA
1218,C01BA01
1219,C01BA02
1220,C01BA02
1221,C01BA03
1222,C01BA03
1223,C01BA04
1224,C01BA05
1225,C01BA08
1226,C01BA12
1227,C01BA13
1228,C01BA51
1229,C01BA71
1230,C01BB
1231,C01BB01
1232,C01BB02
1233,C01BB02
1234,C01BB03
1235,C01BB03
1236,C01BB04
1237,C01BB04
1238,C01BC
1239,C01BC03
1240,C01BC03
1241,C01BC04
1242,C01BC04
1243,C01BC07
1244,C01BC08
1245,C01BC09
1246,C01BD
1247,C01BD01
1248,C01BD01
1249,C01BD02
1250,C01BD03
1251,C01BD04
1252,C01BD05
1253,C01BD06
1254,C01BD07
1255,C01BG
1256,C01BG01
1257,C01BG07
1258,C01BG11
1259,C01C
1260,C01CA
1261,C01CA01
1262,C01CA01
1263,C01CA02
1264,C01CA02
1265,C01CA03
1266,C01CA04
1267,C01CA05
1268,C01CA06
1269,C01CA07
1270,C01CA08
1271,C01CA08
1272,C01CA09
1273,C01CA10
1274,C01CA11
1275,C01CA12
1276,C01CA13
1277,C01CA14
1278,C01CA15
1279,C01CA16
1280,C01CA17
1281,C01CA18
1282,C01CA19
1283,C01CA21
1284,C01CA22
1285,C01CA23
1286,C01CA24
1287,C01CA25
1288,C01CA26
1289,C01CA27
1290,C01CA30
1291,C01CA51
1292,C01CE
1293,C01CE01
1294,C01CE02
1295,C01CE03
1296,C01CE04
1297,C01CX
1298,C01CX06
1299,C01CX07
1300,C01CX08
1301,C01CX09
1302,C01D
1303,C01DA
1304,C01DA02
1305,C01DA02
1306,C01DA02
1307,C01DA02
1308,C01DA04
1309,C01DA05
1310,C01DA07
1311,C01DA08
1312,C01DA08
1313,C01DA08
1314,C01DA08
1315,C01DA09
1316,C01DA13
1317,C01DA14
1318,C01DA20
1319,C01DA38
1320,C01DA52
1321,C01DA54
1322,C01DA55
1323,C01DA57
1324,C01DA58
1325,C01DA59
1326,C01DA63
1327,C01DA70
1328,C01DB
1329,C01DB01
1330,C01DX
1331,C01DX01
1332,C01DX02
1333,C01DX03
1334,C01DX03
1335,C01DX04
1336,C01DX05
1337,C01DX06
1338,C01DX07
1339,C01DX08
1340,C01DX08
1341,C01DX09
1342,C01DX10
1343,C01DX11
1344,C01DX12
1345,C01DX13
1346,C01DX14
1347,C01DX15
1348,C01DX16
1349,C01DX18
1350,C01DX19
1351,C01DX21
1352,C01DX22
1353,C01DX51
1354,C01DX52
1355,C01DX53
1356,C01DX54
1357,C01E
1358,C01EA
1359,C01EA01
1360,C01EB
1361,C01EB02
1362,C01EB03
1363,C01EB04
1364,C01EB05
1365,C01EB06
1366,C01EB07
1367,C01EB09
1368,C01EB10
1369,C01EB11
1370,C01EB13
1371,C01EB15
1372,C01EB16
1373,C01EB17
1374,C01EB18
1375,C01EB21
