icd_index,CODE
1736,C7951
1737,C7952
1738,C7960
1739,C7961
1740,C7962
1741,C7963
1742,C7970
1743,C7971
1744,C7972
1745,C7981
1746,C7982
1747,C7989
1748,C799
1749,C7A00
1750,C7A010
1751,C7A011
1752,C7A012
1753,C7A019
1754,C7A020
1755,C7A021
1756,C7A022
1757,C7A023
1758,C7A024
1759,C7A025
1760,C7A026
1761,C7A029
1762,C7A090
1763,C7A091
1764,C7A092
1765,C7A093
1766,C7A094
1767,C7A095
1768,C7A096
1769,C7A098
1770,C7A1
1771,C7A8
1772,C7B00
1773,C7B01
1774,C7B02
1775,C7B03
1776,C7B04
1777,C7B09
1778,C7B1
1779,C7B8
1780,C800
1781,C801
1782,C802
1783,C8100
1784,C8101
1785,C8102
1786,C8103
1787,C8104
1788,C8105
1789,C8106
1790,C8107
1791,C8108
1792,C8109
1793,C8110
1794,C8111
1795,C8112
1796,C8113
1797,C8114
1798,C8115
1799,C8116
1800,C8117
1801,C8118
1802,C8119
1803,C8120
1804,C8121
1805,C8122
1806,C8123
1807,C8124
1808,C8125
1809,C8126
1810,C8127
1811,C8128
1812,C8129
1813,C8130
1814,C8131
1815,C8132
1816,C8133
1817,C8134
1818,C8135
1819,C8136
1820,C8137
1821,C8138
1822,C8139
1823,C8140
1824,C8141
1825,C8142
1826,C8143
1827,C8144
1828,C8145
1829,C8146
1830,C8147
1831,C8148
1832,C8149
1833,C8170
1834,C8171
1835,C8172
1836,C8173
1837,C8174
1838,C8175
1839,C8176
1840,C8177
1841,C8178
1842,C8179
1843,C8190
1844,C8191
1845,C8192
1846,C8193
1847,C8194
1848,C8195
1849,C8196
1850,C8197
1851,C8198
1852,C8199
1853,C8200
1854,C8201
1855,C8202
1856,C8203
1857,C8204
1858,C8205
1859,C8206
1860,C8207
1861,C8208
1862,C8209
1863,C8210
1864,C8211
1865,C8212
1866,C8213
1867,C8214
1868,C8215
1869,C8216
1870,C8217
1871,C8218
1872,C8219
1873,C8220
1874,C8221
1875,C8222
1876,C8223
1877,C8224
1878,C8225
1879,C8226
1880,C8227
1881,C8228
1882,C8229
1883,C8230
1884,C8231
1885,C8232
1886,C8233
1887,C8234
1888,C8235
1889,C8236
1890,C8237
1891,C8238
1892,C8239
1893,C8240
1894,C8241
1895,C8242
1896,C8243
1897,C8244
1898,C8245
1899,C8246
1900,C8247
1901,C8248
1902,C8249
1903,C8250
1904,C8251
1905,C8252
1906,C8253
1907,C8254
1908,C8255
1909,C8256
1910,C8257
1911,C8258
1912,C8259
1913,C8260
1914,C8261
1915,C8262
1916,C8263
1917,C8264
1918,C8265
1919,C8266
1920,C8267
1921,C8268
1922,C8269
1923,C8280
1924,C8281
1925,C8282
1926,C8283
1927,C8284
1928,C8285
1929,C8286
1930,C8287
1931,C8288
1932,C8289
1933,C8290
1934,C8291
1935,C8292
1936,C8293
1937,C8294
1938,C8295
1939,C8296
1940,C8297
1941,C8298
1942,C8299
1943,C8300
1944,C8301
1945,C8302
1946,C8303
1947,C8304
1948,C8305
1949,C8306
1950,C8307
1951,C8308
1952,C8309
1953,C8310
1954,C8311
1955,C8312
1956,C8313
1957,C8314
1958,C8315
1959,C8316
1960,C8317
1961,C8318
1962,C8319
1963,C8330
1964,C8331
1965,C8332
1966,C8333
1967,C8334
1968,C8335
1969,C8336
1970,C8337
1971,C8338
1972,C8339
1973,C8350
1974,C8351
1975,C8352
1976,C8353
1977,C8354
1978,C8355
1979,C8356
1980,C8357
1981,C8358
1982,C8359
1983,C8370
1984,C8371
1985,C8372
1986,C8373
1987,C8374
1988,C8375
1989,C8376
1990,C8377
1991,C8378
1992,C8379
1993,C8380
1994,C8381
1995,C8382
1996,C8383
1997,C8384
1998,C8385
1999,C8386
2000,C8387
2001,C8388
2002,C8389
2003,C8390
2004,C8391
2005,C8392
2006,C8393
2007,C8394
2008,C8395
2009,C8396
2010,C8397
2011,C8398
2012,C8399
2013,C8400
2014,C8401
2015,C8402
2016,C8403
2017,C8404
2018,C8405
2019,C8406
2020,C8407
2021,C8408
2022,C8409
2023,C8410
2024,C8411
2025,C8412
2026,C8413
2027,C8414
2028,C8415
2029,C8416
2030,C8417
2031,C8418
2032,C8419
2033,C8440
2034,C8441
2035,C8442
2036,C8443
2037,C8444
2038,C8445
2039,C8446
2040,C8447
2041,C8448
2042,C8449
2043,C8460
2044,C8461
2045,C8462
2046,C8463
2047,C8464
2048,C8465
2049,C8466
2050,C8467
2051,C8468
2052,C8469
2053,C8470
2054,C8471
2055,C8472
2056,C8473
2057,C8474
2058,C8475
2059,C8476
2060,C8477
2061,C8478
2062,C8479
2063,C847A
2064,C8490
2065,C8491
2066,C8492
2067,C8493
2068,C8494
2069,C8495
2070,C8496
2071,C8497
2072,C8498
2073,C8499
2074,C84A0
2075,C84A1
2076,C84A2
2077,C84A3
2078,C84A4
2079,C84A5
2080,C84A6
2081,C84A7
2082,C84A8
2083,C84A9
2084,C84Z0
2085,C84Z1
2086,C84Z2
2087,C84Z3
2088,C84Z4
2089,C84Z5
2090,C84Z6
2091,C84Z7
2092,C84Z8
2093,C84Z9
2094,C8510
2095,C8511
2096,C8512
2097,C8513
2098,C8514
2099,C8515
2100,C8516
2101,C8517
2102,C8518
2103,C8519
2104,C8520
2105,C8521
2106,C8522
2107,C8523
2108,C8524
2109,C8525
2110,C8526
2111,C8527
2112,C8528
2113,C8529
2114,C8580
2115,C8581
2116,C8582
2117,C8583
2118,C8584
2119,C8585
2120,C8586
2121,C8587
2122,C8588
2123,C8589
2124,C8590
2125,C8591
2126,C8592
2127,C8593
2128,C8594
2129,C8595
2130,C8596
2131,C8597
2132,C8598
2133,C8599
2134,C860
2135,C861
2136,C862
2137,C863
2138,C864
2139,C865
2140,C866
2141,C880
2142,C882
2143,C883
2144,C884
2145,C888
2146,C889
2147,C9000
2148,C9001
2149,C9002
2150,C9010
2151,C9011
2152,C9012
2153,C9020
2154,C9021
2155,C9022
2156,C9030
2157,C9031
2158,C9032
2159,C9100
2160,C9101
2161,C9102
2162,C9110
2163,C9111
2164,C9112
2165,C9130
2166,C9131
2167,C9132
2168,C9140
2169,C9141
2170,C9142
2171,C9150
2172,C9151
2173,C9152
2174,C9160
2175,C9161
2176,C9162
2177,C9190
2178,C9191
2179,C9192
2180,C91A0
2181,C91A1
2182,C91A2
2183,C91Z0
2184,C91Z1
2185,C91Z2
2186,C9200
2187,C9201
2188,C9202
2189,C9210
2190,C9211
2191,C9212
2192,C9220
2193,C9221
2194,C9222
2195,C9230
2196,C9231
2197,C9232
2198,C9240
2199,C9241
2200,C9242
2201,C9250
2202,C9251
2203,C9252
2204,C9260
2205,C9261
2206,C9262
2207,C9290
2208,C9291
2209,C9292
2210,C92A0
2211,C92A1
2212,C92A2
2213,C92Z0
2214,C92Z1
2215,C92Z2
2216,C9300
2217,C9301
2218,C9302
2219,C9310
2220,C9311
2221,C9312
2222,C9330
2223,C9331
2224,C9332
2225,C9390
2226,C9391
2227,C9392
2228,C93Z0
2229,C93Z1
2230,C93Z2
2231,C9400
2232,C9401
2233,C9402
2234,C9420
2235,C9421
2236,C9422
2237,C9430
2238,C9431
2239,C9432
2240,C9440
2241,C9441
2242,C9442
2243,C946
2244,C9480
2245,C9481
2246,C9482
2247,C9500
2248,C9501
2249,C9502
2250,C9510
2251,C9511
2252,C9512
2253,C9590
2254,C9591
2255,C9592
2256,C960
2257,C962
2258,C9620
